142389495503925248	NONE
142389933619945473	NEU
142391947707940864	P
142416095012339712	N+
142422495721562112	P+
142424715175280640	NONE
142483342040907776	P+
142493511634259968	NONE
142494476051562496	P+
142496796416016384	P+
142497735814287360	P+
142499355360903168	P+
142504935853006848	N+
142507006832553984	P
142509609565962240	P+
142512151628750849	NONE
142512293681438720	NONE
142513785154969600	P+
142517740517867520	P
142521019171749888	N
142521249246097408	N
142521301054140416	N
142536698188931072	N+
142539660835557376	N
142545185308540928	P
142545757445173248	N
142548640685228032	P+
142552759953141761	P
142556824292442112	P+
142558452257013760	NONE
142561346645540864	NONE
142569992418897922	P
142574119152648192	N
142574138685526016	N
142579555402653696	N
142579605327450115	NEU
142579874547249152	P
142579876459847680	N+
142582871591362560	N
142589717148479489	NONE
142593149913673728	P
142593771790532608	N
142594023780134912	NONE
142598684511711233	NEU
142603527712280577	NONE
142606640099762176	P+
142608911256662016	P
142610350083276800	NONE
142624216959819776	P
142637480934514688	N
142658962175705090	NONE
142660083946491905	P
142660621131980800	NONE
142671399767646208	NONE
142676877553844224	N
142681150308102146	N
142687408129982464	N+
142688031785226240	P
142690669536886787	N
142691468224626688	P+
142692535503028224	N
142696986603302912	P+
142697926290980865	NONE
142698835578327040	P
142700153919377408	N+
142700988762038272	N+
142712535869689857	P+
142716125346668544	P+
142718656571379712	P+
142736560624902144	NONE
142737411007459328	P+
142739315879976960	P+
142746097071304704	N
142753858559553536	NONE
142760416379015168	P+
142862083837530112	N
142886992848494592	P
142889010551984128	N
142896028348203009	P+
142906509758701569	P+
142907037939011584	NONE
142912219972247552	N
142926609215799296	P+
142928818708029440	P
142933511345668097	P
142935206737887232	NONE
142935376787554304	N+
142936416949780481	P
142937245148651521	N
142938216415240192	P
142938533374607360	P+
142938884559478786	N
142940119492603904	N
142940880964296705	NONE
142943592997076992	NONE
142947177998716928	N+
142957892537024512	P+
142966192158683136	N+
142967218228035584	N+
